"id","created_at","updated_at","name","section_id","number"
"36","2021-04-18 09:29:44","2021-04-18 09:29:44","Comic/Novela gráfica","33","3.3"
"37","2021-06-19 12:14:32","2021-06-19 12:14:32","Juegos de Mesa",NULL,"4"
"38","2022-11-22 19:04:30","2022-11-22 19:04:30","LGTBIAQ+","17","1.5.2"
"39","2023-01-13 17:42:07","2023-01-13 17:42:07","Poesía","33","3.4"
"40","2023-01-13 17:42:39","2023-01-13 17:42:39","Teatro","33","3.5"
"41","2023-02-10 17:59:07","2023-02-10 17:59:07","Exclusión social","1","1.17"
"42","2023-02-10 18:36:00","2023-02-10 18:36:00","Trabajo asalariado","6","1.10.1"
"45","2023-03-24 18:26:49","2023-04-25 15:35:04","Europa","23","2.3"
"46","2023-03-24 18:27:19","2023-04-25 15:35:19","España","45","2.3.1"
"47","2023-03-24 18:27:47","2023-04-25 15:35:53","Antes de 1900","46","2.3.1.1"
"49","2023-03-24 18:28:48","2023-04-25 15:36:21","1900 - 1936","46","2.3.1.2"
"51","2023-03-24 18:30:01","2023-06-16 17:20:26","1939 - 1975 (Franquismo)","46","2.3.1.4"
"52","2023-03-24 18:30:25","2023-06-16 17:20:50","1975 - 1986 (Transición)","46","2.3.1.5"
"53","2023-03-24 18:30:48","2023-04-25 16:09:16","1987 - 2010","46","2.3.1.6"
"54","2023-03-24 18:31:08","2023-04-25 16:09:05","2011 - Actualidad","46","2.3.1.7"
"55","2023-03-24 18:31:28","2023-04-25 16:08:53","Francia","45","2.3.2"
"56","2023-03-24 18:31:51","2023-04-25 15:38:23","África","23","2.4"
"57","2023-03-24 18:32:09","2023-04-25 16:08:18","Marruecos","56","2.4.1"
"58","2023-03-24 18:32:29","2023-04-25 16:08:08","Egipto","56","2.4.2"
"59","2023-03-24 18:34:17","2023-04-25 15:38:12","América","23","2.5"
"60","2023-03-24 18:34:39","2023-04-25 15:42:26","Sudamérica","59","2.5.1"
"61","2023-03-24 18:35:01","2023-04-25 16:07:15","Argentina","60","2.5.1.1"
"62","2023-03-24 18:35:21","2023-04-25 16:07:27","Chile","60","2.5.1.2"
"63","2023-03-24 18:35:47","2023-04-25 15:57:43","Centroamérica","59","2.5.2"
"65","2023-03-24 18:36:21","2023-04-25 16:00:45","Cuba","63","2.5.2.2"
"66","2023-03-24 18:37:28","2023-04-25 15:43:10","Norteamérica","59","2.5.3"
"67","2023-03-24 18:37:51","2023-04-25 15:57:07","Estados Unidos","66","2.5.3.1"
"68","2023-03-24 18:38:04","2023-04-25 15:37:02","Asia","23","2.6"
"70","2023-03-24 18:38:53","2023-04-25 15:40:23","China","68","2.6.2"
"71","2023-03-24 18:39:09","2023-04-25 15:40:10","Japón","68","2.6.3"
"72","2023-03-24 18:39:25","2023-04-25 15:36:49","Oceanía","23","2.7"
"73","2023-03-24 18:39:40","2023-04-25 15:39:30","Australia","72","2.7.1"
"74","2023-04-21 16:07:07","2023-04-21 16:07:07","Ecologismo social","1","1.18"
"75","2023-07-14 17:19:24","2023-07-14 17:19:24","Ecofeminismo","17","1.5.3"
"76","2023-11-17 19:17:43","2023-11-17 19:17:43","Italia","45","2.3.3"
"77","2023-11-24 18:03:12","2023-11-24 18:03:12","Alemania","45","2.3.4"
"78","2023-11-24 18:07:00","2023-11-24 18:07:22","Inglaterra","45","2.3.5"
"79","2023-11-24 18:07:53","2023-11-24 18:26:38","Grecia","45","2.3.6"
"80","2023-11-24 18:08:41","2023-11-24 18:08:41","Portugal","45","2.3.7"
"81","2024-10-11 16:18:42","2024-10-11 16:18:42","Uruguay","60","2.5.1.3"
"82","2024-10-11 16:19:23","2024-10-11 16:19:23","Bolivia","60","2.5.1.4"
"83","2024-10-11 16:20:58","2024-10-11 16:20:58","Colombia","60","2.5.1.5"
"84","2024-10-11 16:22:40","2024-10-11 16:22:40","Brasil","60","2.5.1.6"
